Book,Genres
To Kill a Mockingbird,"['Classics', 'Fiction', 'Historical Fiction', 'School', 'Literature', 'Young Adult', 'Historical']"
"Harry Potter and the Philosopher’s Stone (Harry Potter, #1)","['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Middle Grade', 'Classics']"
Pride and Prejudice,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Literature', 'Historical', 'Audiobook']"
The Diary of a Young Girl,"['Classics', 'Nonfiction', 'History', 'Biography', 'Memoir', 'Historical', 'Holocaust']"
Animal Farm,"['Classics', 'Fiction', 'Dystopia', 'Fantasy', 'Politics', 'School', 'Literature']"
The Little Prince,"['Classics', 'Fiction', 'Fantasy', 'Childrens', 'France', 'Philosophy', 'Young Adult']"
1984,"['Classics', 'Fiction', 'Science Fiction', 'Dystopia', 'Literature', 'Novels', 'Politics']"
The Great Gatsby,"['Classics', 'Fiction', 'School', 'Historical Fiction', 'Literature', 'Romance', 'Novels']"
The Catcher in the Rye,"['Classics', 'Fiction', 'Young Adult', 'Literature', 'School', 'Novels', 'Coming Of Age']"
The Lord of the Rings,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'High Fantasy']"
The Book Thief,"['Historical Fiction', 'Fiction', 'Young Adult', 'Historical', 'Classics', 'War', 'World War II']"
Jane Eyre,"['Classics', 'Fiction', 'Romance', 'Historical Fiction', 'Gothic', 'Literature', 'Historical']"
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","['Fantasy', 'Classics', 'Young Adult', 'Childrens', 'Christian', 'Adventure', 'Middle Grade']"
Lord of the Flies,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School']"
Romeo and Juliet,"['Classics', 'Plays', 'Fiction', 'Romance', 'School', 'Drama', 'Read For School']"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'Childrens', 'Adventure', 'Audiobook']"
